Work ID,State,District,Constituency,Hon'ble MP,Tenure,Category,Work Title,Location,Recommended Amount (₹),Sanctioned Amount (₹),Released Amount (₹),Expenditure (₹),Recommendation Date,Sanction Date,Start Date,Completion Date,Status,Implementing Agency,Contractor Name,Latitude,Longitude,Data Source Portal
MOSPI-2024-MA-0001,Maharashtra,Nashik,Nashik,Hemant Godse,18th Lok Sabha,Education,Construction of Additional Classrooms and Girls Common Room in Govt College at Nashik,"Nashik Sub-Division, Maharashtra",4460000,4080000,3130000,340000,2024-08-15,2024-11-13,,,Sanctioned,Maharashtra Jeevan Pradhikaran,National Rural Infrastructure Corp,,,MoSPI eSAKSHI Official Portal (https://mplads.mospi.gov.in)
MOSPI-2024-MA-0002,Maharashtra,Thane,Thane,Rajan Vichare,18th Lok Sabha,Solar & Renewable Energy,Installation of 25 kWp Grid-Tied Rooftop Solar PV System on Govt Hospital at Thane,"Thane Sub-Division, Maharashtra",1220000,1180000,1170000,990000,2024-09-07,2024-10-01,2024-11-01,,Ongoing,Zilla Parishad Pune (Works Dept),Shiva Shakti Constructions,,,MoSPI eSAKSHI Official Portal (https://mplads.mospi.gov.in)
MOSPI-2024-KA-0003,Karnataka,Bengaluru Urban,Bangalore South,Tejasvi Surya,18th Lok Sabha,Community Infrastructure,Erection of High-Mast Solar LED Tower Lights in Public Market Squares at Bengaluru Urban,"Bengaluru Urban Sub-Division, Karnataka",2720000,2570000,2140000,1880000,2024-06-09,2024-08-27,2024-10-07,,Ongoing,PWD Belagavi Division,Standard Technical Contractors,,,MoSPI eSAKSHI Official Portal (https://mplads.mospi.gov.in)
MOSPI-2023-AS-0004,Assam,Dibrugarh,Dibrugarh,Rameswar Teli,17th Lok Sabha,Drinking Water,Piped Drinking Water Supply Augmentation in Backward Wards at Dibrugarh,"Dibrugarh Sub-Division, Assam",3170000,2820000,2780000,490000,2023-07-15,2023-09-22,,,Sanctioned,DRDA Dibrugarh,Southern Civil Builders Ltd,,,MoSPI eSAKSHI Official Portal (https://mplads.mospi.gov.in)
MOSPI-2024-AS-0005,Assam,Dibrugarh,Dibrugarh,Rameswar Teli,18th Lok Sabha,Sanitation,Installation of Bio-Toilets at Public Bus Stands and Weekly Market Yards at Dibrugarh,"Dibrugarh Sub-Division, Assam",1430000,1240000,0.0,0.0,2024-08-26,,,,Recommended,PWD (Roads) Jorhat,Apex Engineering & Projects,,,MoSPI eSAKSHI Official Portal (https://mplads.mospi.gov.in)
MOSPI-2024-KA-0006,Karnataka,Belagavi,Belgaum,Mangala Angadi,18th Lok Sabha,Drinking Water,Piped Drinking Water Supply Augmentation in Backward Wards at Belagavi,"Belagavi Sub-Division, Karnataka",2720000,2500000,1960000,360000,2024-04-03,2024-05-13,,,Sanctioned,Bruhat Bengaluru Mahanagara Palike (BBMP),Deccan Infrastructure Ltd,,,MoSPI eSAKSHI Official Portal (https://mplads.mospi.gov.in)
MOSPI-2024-MA-0007,Madhya Pradesh,Gwalior,Gwalior,Vivek Narayan Shejwalkar,18th Lok Sabha,Drinking Water,"Construction of Overhead Drinking Water Storage Reservoir (50,000 Ltr) at Gwalior","Gwalior Sub-Division, Madhya Pradesh",1730000,1520000,0.0,0.0,2024-09-09,,,,Recommended,PWD Gwalior Division,Sunrise Civil Works,,,MoSPI eSAKSHI Official Portal (https://mplads.mospi.gov.in)
MOSPI-2023-AS-0008,Assam,Kamrup Metropolitan,Gauhati,Queen Oja,17th Lok Sabha,Sanitation,Deployment of Battery-Operated Door-to-Door Solid Waste Collection E-Vehicles at Kamrup Metropolitan,"Kamrup Metropolitan Sub-Division, Assam",1210000,1180000,1110000,1150000,2023-04-15,2023-05-11,2023-05-21,2024-04-06,Completed,DRDA Dibrugarh,Apex Engineering & Projects,,,MoSPI eSAKSHI Official Portal (https://mplads.mospi.gov.in)
MOSPI-2024-RA-0009,Rajasthan,Jaipur,Jaipur,Ramcharan Bohra,18th Lok Sabha,Drinking Water,"Construction of Overhead Drinking Water Storage Reservoir (50,000 Ltr) at Jaipur","Jaipur Sub-Division, Rajasthan",2780000,2540000,1680000,1290000,2024-11-09,2025-01-25,2025-02-12,,Ongoing,Ajmer Zila Parishad,Standard Technical Contractors,,,MoSPI eSAKSHI Official Portal (https://mplads.mospi.gov.in)
MOSPI-2023-KA-0010,Karnataka,Bengaluru Urban,Bangalore South,Tejasvi Surya,17th Lok Sabha,Healthcare,Provision of Advanced Life Support Mobile Ambulance Unit for Sub-Divisional Hospital at Bengaluru Urban,"Bengaluru Urban Sub-Division, Karnataka",6080000,5350000,3860000,2370000,2023-08-31,2023-11-20,2023-12-12,,Ongoing,Karnataka Rural Infrastructure Development Ltd (KRIDL),Southern Civil Builders Ltd,,,MoSPI eSAKSHI Official Portal (https://mplads.mospi.gov.in)
